mu_B [MeV],Energy Density [MeV/fm^3],Pressure [MeV/fm^3]
922,27.829594649824198,-2.74843342945524
923,27.94107838518341,-2.645790146229001
924,28.01613109815179,-2.539979570603307
925,28.096318095675226,-2.4341378307202817
926,28.195163276535755,-2.329193964412596
927,19.780217409172096,-1.6681042730930036
928,16.26240473677204,-1.3551265207074157
929,45.452084672335424,-3.1715710522704095
930,48.40240904571942,-3.24966368873502
931,51.02112398498997,-3.3011197116876216
932,53.40461249091986,-3.332988373895369
933,55.60961623167539,-3.3494826009983814
934,57.6729433616723,-3.3533750167620333
935,59.62011361820659,-3.3466148350548126
936,61.46970198544865,-3.3306400146977992
937,63.23574061513931,-3.3065510666621294
938,64.92914576522946,-3.2752150087648015
939,66.55861423115877,-3.2373311057675167
940,68.1312123549469,-3.1934743452918855
941,69.65277753143691,-3.14412526562608
942,71.1282005158339,-3.089691059279864
943,72.56162917409038,-3.0305208988798897
944,73.95661888113057,-2.966917320118397
945,75.31624575266402,-2.8991448431015274
946,76.64319337395257,-2.827436615010559
947,77.9398202438134,-2.751999606492289
948,79.20821294829611,-2.673018732043719
949,80.45022858649985,-2.5906601571362047
950,81.66752902231087,-2.5050739816498897
951,82.86160877389185,-2.4163964392101254
952,84.03381796798764,-2.3247517158929036
953,85.18538137214134,-2.23025346675231
954,86.31741429493835,-2.133006090065444
955,87.43093599880085,-2.033105804943591
956,88.52688091891135,-1.930641571492046
957,89.60610855869777,-1.8256958732214434
958,90.66941154013493,-1.7183453986744528
959,91.71752285450114,-1.608661626114765
960,92.75112201641379,-1.4967113344883294
961,93.77084043661947,-1.382557049705467
962,94.77726611560956,-1.2662574364004948
963,95.77094775967052,-1.147867643227629
964,96.75239840515411,-1.0274396083318273
965,97.72209862069924,-0.9050223305624177
966,98.68049934793675,-0.7806621110219432
967,99.62802441934939,-0.6544027692422163
968,100.5650728261655,-0.5262858361967956
969,101.4920207197539,-0.3963507287890778
970,102.40922322779467,-0.26463490640846626
971,103.31701607920672,-0.13117401273281162
972,104.21571707739096,0.003997996136952171
973,105.1056274153241,0.1408487345974672
974,105.98703288964342,0.27934728196620984
975,106.86020498636206,0.41946408546642155
976,107.72540187545293,0.5611708718519264
977,108.58286931655054,0.7044405664331672
978,109.43284148639027,0.8492472187933121
979,110.27554173607187,0.9955659345152893
980,111.11118328533558,1.1433728123262246
981,111.93996986017127,1.292644886132617
982,112.76209627934652,1.4433600714804917
983,113.57774899478304,1.5954971160272915
984,114.38710659017917,1.7490355536559086
985,115.19034024176425,1.9039556619036413
986,115.98761414466834,2.060238422411554
987,116.7790859080042,2.2178654841314818
988,117.56490692143916,2.3768191290546423
989,118.34522269574423,2.537082240249497
990,119.12017317955622,2.698638272017722
991,119.88989305436367,2.861471221995433
992,120.65451201876579,3.0255656055745708
993,121.41415499896381,3.1909064287917746
